claim,evidenceUrl,snippet,relevance,labelDescription
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://fortune.com/2022/01/10/child-hospitalization-rates-record-high-omicron/,"At a press conference Friday, CDC director Dr. Rochelle Walensky said that while the CDC was “still learning” about the severity of Omicron",0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://fortune.com/2022/02/01/when-will-children-under-5-get-the-vaccine/,"we surround them with people who are vaccinated to provide them protection,” CDC director Rochelle Walensky said earlier this month.",1,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://thehill.com/policy/healthcare/588768-cdc-director-updates-isolation-guidance-in-effort-to-keep-schools-open/,Control and Prevention (CDC) Director Rochelle Walensky reported She said it's still not clear if the increase is due to a greater,0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.cdc.gov/media/releases/2022/t0107-covid-update.html,"We are joined by CDC director, Dr. Rochelle Walensky who will provide And so I would say we don't yet have not yet seen a signal that",0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.clickondetroit.com/health/2022/01/08/cdc-defends-isolation-guidelines-urges-people-to-get-vaccinated-against-covid/,"“It's critically important that we surround them with people who are vaccinated to provide them protection,” Walensky said. “This includes at",1,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.cnn.com/2022/01/07/health/us-coronavirus-friday/index.html,"that we surround them with people who are vaccinated to provide them protection,"" CDC director Dr. Rochelle Walensky said Friday.",1,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.cnn.com/world/live-news/omicron-variant-coronavirus-news-01-07-22/index.html,CDC director urges parents to surround young children with vaccinated people Disease Control and Prevention Director Dr. Rochelle Walensky said Friday.,1,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.factcheck.org/2022/01/factchecking-the-justices-covid-19-claims/,"highest rate compared to any prior point in the pandemic,” Dr. Rochelle Walensky, the CDC's director, said in a press conference on Jan.",0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.forbes.com/sites/masonbissada/2022/01/07/children-with-covid-face-increased-risk-of-diabetes-cdc-finds/,CDC Director Rochelle Walensky told reporters Friday that pediatric hospitalizations as a result of Covid-19 reached record numbers this,0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.healthline.com/health-news/how-omicron-is-affecting-child-safety-at-school,"Here's what health experts say. Source by Centers for Disease Control and Prevention (CDC) Director Dr. Rochelle Walensky, the number of",0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.idse.net/Covid-19/Article/01-22/Omicron-Pitching-Curveballs-Pediatric-Hospitalizations-from-COVID-19-Rising/65808,"CDC Director Rochelle Walensky, MD, MPH, said the SARS-CoV-2 is throwing curveballs. They are seeing a rise in hospitalizations,",0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.nytimes.com/2022/01/07/health/covid-children-hospitals.html,“It's critically important that we surround them with people who are vaccinated to provide them protection.” The rise has been noticeable at a,0,Supports
"""It’s critically important that we surround them with people who are vaccinated to provide them protection,"" said CDC Director Rochelle Walensky.",https://www.thedailybeast.com/more-little-kids-are-getting-hospitalized-with-covid-cdc-says,"... Rochelle Walensky, the CDC's directory, said. “It's critically important that we surround them with people who are vaccinated to provide them protection ...",1,Supports
12.9% of the total population of the USA were daily smokers in 2014.,http://harfordcountyhealth.com/wp-content/uploads/2016/05/HG-13-1004-PHPA-Biennial-Tobacco-Study_Final-Signed-05-24-16_OGA1693-1.pdf,"Adult Demographic Profiles by Smoking Status - 2014 . Maryland's tobacco-use prevention efforts have been impactful, with a.",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://cancercontrol.cancer.gov/sites/default/files/2020-06/2018-19-Data-Brief.pdf,"Current Cigarette Smoking Status by Gender and Region – 2014-2015 vs. 2018-2019 In 2018-2019, daily smoking was most prevalent in Arkansas.",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://ec.europa.eu/eurostat/web/products-eurostat-news/-/edn-20211112-1,"Across the EU Member States, the countries with the largest shares of daily cigarette smokers were Bulgaria (28.7%), Greece (23.6%), Latvia (",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000757,"The age-adjusted death rate per 100 000 population was 233.1 (95% CI, United States by extrapolating to the US population in 2014 from",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6444a2.htm,"Among daily cigarette smokers, declines were observed in the percentage who survey of the noninstitutionalized U.S. civilian population.",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6444a2.htm,"Current Cigarette Smoking Among Adults — United States, 2005–2014. Weekly Among daily cigarette smokers, declines were observed in the",1,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.cdc.gov/tobacco/data_statistics/fact_sheets/adult_data/cig_smoking/index.htm,Current Smoking Among Adults in 2020 (Nation) · By Sex Men were more likely than women to currently smoke cigarettes. About 14 of every 100 adult men (14.1%) ...,0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.dshs.texas.gov/chs/healthstatustexas2014.pdf,"Estimated and Projected Percent of Texas Population by Age Group. 6 U.S. Centers for Disease Control and Prevention, “Smoking and Tobacco Use - Fact",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.ncbi.nlm.nih.gov/books/NBK555598/,"The chapter also reviews the changing demographic and smoking-related Students who were former daily smokers (i.e., ever smokers who were not smoking",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526274/,"Also, smoking prevalence among the total population in developed While in 1990 the prevalence of daily smoking was 48% among men and 15%",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandlifeexpectancies/bulletins/adultsmokinghabitsingreatbritain/2019,"In Sections 3 and 4, we describe data from the Annual Population Survey In 2019, the proportion of current smokers in the UK was 14.1%,",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.samhsa.gov/data/sites/default/files/NSDUH-FFR1-2016/NSDUH-FFR1-2016.pdf,"were daily cigarette smokers and 12.2 million who smoked of crack cocaine, and since 2014 for current use of heroin. The increase in marijuana use",0,Supports
12.9% of the total population of the USA were daily smokers in 2014.,https://www.tobaccoinaustralia.org.au/chapter-1-prevalence/1-3-prevalence-of-smoking-adults,"Prevalence of daily, regular and current smokers* 2019—Australians 14+ and 18+ population (aged 18 and over) were smokers: 43% of men and 29% of women.",0,Supports
